datetime,open,high,low,close,open_interest,volume,total_turnover,date,open_interest_diff,ret,high_diff,factor_mom_1,factor_mom_2,hl_ratio,hl_ratio_diff,factor_mom_3,factor_rev_1,factor_rev_2,hedge_pressure_ratio,intraday_return,factor_rev_3,close_diff_abs,ER_up,ER_down,ER,Signal_factor_mom_1,Signal_factor_mom_2,Signal_factor_mom_3,Signal_factor_rev_1,Signal_factor_rev_2,Signal_factor_rev_3,Signal_ER,Signal_mom,Signal_rev,Signal
2016-01-04 10:01:00,2003.0,2003.0,2003.0,2003.0,12.0,0.0,0.0,2016-01-04,0.0,0.0,,,,1.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0
2016-01-04 11:01:00,1998.0,1998.0,1998.0,1998.0,12.0,0.0,0.0,2016-01-04,0.0,0.0,-5.0,,-10.0,1.0,,,0.0,0.0,,0.0,0.0,5.0,,,,,,,,,,,0.0,0.0,0.0
2016-01-04 12:01:00,1998.0,1998.0,1998.0,1998.0,12.0,0.0,0.0,2016-01-04,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0
2016-01-04 14:01:00,1998.0,1998.0,1998.0,1998.0,12.0,0.0,0.0,2016-01-04,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0
2016-01-04 15:01:00,1998.0,1998.0,1998.0,1998.0,12.0,0.0,0.0,2016-01-04,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0
2016-01-05 10:01:00,1997.0,1997.0,1997.0,1997.0,12.0,0.0,0.0,2016-01-05,0.0,0.0,-1.0,0.09225312080288849,-2.0,1.0,,,0.0,0.0,,0.0,0.0,1.0,6.0,6.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-05 11:01:00,1997.0,1997.0,1997.0,1997.0,12.0,0.0,0.0,2016-01-05,0.0,0.0,0.0,0.4472135954999589,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-05 12:01:00,1997.0,1997.0,1997.0,1997.0,12.0,0.0,0.0,2016-01-05,0.0,0.0,0.0,0.4472135954999589,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-05 14:01:00,1997.0,1997.0,1997.0,1997.0,12.0,0.0,0.0,2016-01-05,0.0,0.0,0.0,0.4472135954999589,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-05 15:01:00,1997.0,1997.0,1997.0,1997.0,12.0,0.0,0.0,2016-01-05,0.0,0.0,0.0,0.4472135954999589,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-06 10:01:00,2010.0,2010.0,2010.0,2010.0,12.0,0.0,0.0,2016-01-06,0.0,0.0,13.0,1.7888543819998317,26.0,1.0,,,0.0,0.0,,0.0,0.0,13.0,13.0,13.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-06 11:01:00,2010.0,2010.0,2010.0,2010.0,12.0,0.0,0.0,2016-01-06,0.0,0.0,0.0,-0.4472135954999579,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,13.0,13.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-06 12:01:00,2010.0,2010.0,2010.0,2010.0,12.0,0.0,0.0,2016-01-06,0.0,0.0,0.0,-0.4472135954999579,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,13.0,13.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-06 14:01:00,2010.0,2010.0,2010.0,2010.0,12.0,0.0,0.0,2016-01-06,0.0,0.0,0.0,-0.4472135954999579,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,13.0,13.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-06 15:01:00,2010.0,2010.0,2010.0,2010.0,12.0,0.0,0.0,2016-01-06,0.0,0.0,0.0,-0.4472135954999579,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,13.0,13.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-07 10:01:00,1986.0,1986.0,1986.0,1986.0,12.0,0.0,0.0,2016-01-07,0.0,0.0,-24.0,-1.7888543819998317,-48.0,1.0,,,0.0,0.0,,0.0,0.0,24.0,24.0,24.0,1.0,,,,1.0,,,1.0,0.0,1.0,0.0
2016-01-07 11:01:00,1990.0,1990.0,1990.0,1990.0,18.0,0.0,0.0,2016-01-07,0.0,0.0,4.0,0.7071067811865476,8.0,1.0,,,0.0,0.0,,0.0,0.0,4.0,20.0,28.0,0.7142857142857143,,,,1.0,,,1.0,0.0,1.0,
2016-01-07 12:01:00,1970.0,1970.0,1970.0,1970.0,16.0,0.0,0.0,2016-01-07,0.0,0.0,-20.0,-0.9258200997725514,-40.0,1.0,,,0.0,0.0,,0.0,0.0,20.0,40.0,48.0,0.8333333333333334,,,,1.0,,,-1.0,0.0,1.0,1.0
2016-01-07 14:01:00,1976.0,1976.0,1976.0,1976.0,16.0,0.0,0.0,2016-01-07,0.0,0.0,6.0,0.9069123220242172,12.0,1.0,,,0.0,0.0,,0.0,0.0,6.0,34.0,54.0,0.6296296296296297,,,,1.0,,,-1.0,0.0,1.0,1.0
2016-01-07 15:01:00,1985.0,1985.0,1985.0,1985.0,16.0,0.0,0.0,2016-01-07,0.0,0.0,9.0,0.8926073982886735,18.0,1.0,,,0.0,0.0,,0.0,0.0,9.0,25.0,63.0,0.3968253968253968,,,,1.0,,,-1.0,0.0,1.0,1.0
2016-01-08 10:01:00,1878.0,1878.0,1878.0,1878.0,20.0,0.0,0.0,2016-01-08,0.0,0.0,-107.0,-1.7387702955524638,-214.0,1.0,,,0.0,0.0,,0.0,0.0,107.0,108.0,146.0,0.7397260273972602,,,,1.0,1.0,,-1.0,0.0,1.0,1.0
2016-01-08 11:01:00,1878.0,1878.0,1878.0,1878.0,20.0,0.0,0.0,2016-01-08,0.0,0.0,0.0,0.4606772092221738,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,112.0,142.0,0.7887323943661971,,,,1.0,1.0,,1.0,0.0,1.0,0.0
2016-01-08 12:01:00,1878.0,1878.0,1878.0,1878.0,20.0,0.0,0.0,2016-01-08,0.0,0.0,0.0,0.3703555450553852,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,92.0,122.0,0.7540983606557377,,,,1.0,1.0,,1.0,0.0,1.0,0.0
2016-01-08 14:01:00,1878.0,1878.0,1878.0,1878.0,20.0,0.0,0.0,2016-01-08,0.0,0.0,0.0,0.3998917557406882,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,98.0,116.0,0.8448275862068966,,,,1.0,1.0,,1.0,0.0,1.0,0.0
2016-01-08 15:01:00,1878.0,1878.0,1878.0,1878.0,20.0,0.0,0.0,2016-01-08,0.0,0.0,0.0,0.44721359549995787,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,107.0,107.0,1.0,,,,1.0,1.0,,1.0,0.0,1.0,0.0
2016-01-11 10:01:00,1981.0,1981.0,1981.0,1981.0,18.0,0.0,0.0,2016-01-11,0.0,0.0,103.0,1.7888543819998315,206.0,1.0,,,0.0,0.0,,0.0,0.0,103.0,103.0,103.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-11 11:01:00,1991.0,1991.0,1991.0,1991.0,20.0,0.0,0.0,2016-01-11,0.0,0.0,10.0,-0.27905077477563833,20.0,1.0,,,0.0,0.0,,0.0,0.0,10.0,113.0,113.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-11 12:01:00,1991.0,1991.0,1991.0,1991.0,20.0,0.0,0.0,2016-01-11,0.0,0.0,0.0,-0.5005196436451925,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,113.0,113.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-11 14:01:00,1991.0,1991.0,1991.0,1991.0,20.0,0.0,0.0,2016-01-11,0.0,0.0,0.0,-0.5005196436451925,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,113.0,113.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-11 15:01:00,1991.0,1991.0,1991.0,1991.0,18.0,0.0,0.0,2016-01-11,0.0,0.0,0.0,-0.5005196436451925,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,113.0,113.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-12 10:01:00,1993.0,1993.0,1993.0,1993.0,16.0,0.0,0.0,2016-01-12,0.0,0.0,2.0,-0.09225312080288738,4.0,1.0,,,0.0,0.0,,0.0,0.0,2.0,12.0,12.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-12 11:01:00,1993.0,1993.0,1993.0,1993.0,16.0,0.0,0.0,2016-01-12,0.0,0.0,0.0,-0.44721359549983086,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-12 12:01:00,2009.0,2009.0,2009.0,2009.0,18.0,0.0,0.0,2016-01-12,0.0,0.0,16.0,1.7750548363729832,32.0,1.0,,,0.0,0.0,,0.0,0.0,16.0,18.0,18.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-12 14:01:00,1992.0,1992.0,1992.0,1992.0,16.0,0.0,0.0,2016-01-12,0.0,0.0,-17.0,-1.4684237200393955,-34.0,1.0,,,0.0,0.0,,0.0,0.0,17.0,1.0,35.0,0.02857142857142857,,1.0,,1.0,1.0,,-1.0,1.0,1.0,1.0
2016-01-12 15:01:00,1990.0,1990.0,1990.0,1990.0,14.0,0.0,0.0,2016-01-12,0.0,0.0,-2.0,-0.1531152626190103,-4.0,1.0,,,0.0,0.0,,0.0,0.0,2.0,1.0,37.0,0.02702702702702703,,1.0,,1.0,1.0,,-1.0,1.0,1.0,1.0
2016-01-13 10:01:00,1930.0,1930.0,1930.0,1930.0,12.0,0.0,0.0,2016-01-13,0.0,0.0,-60.0,-1.636624811168457,-120.0,1.0,,,0.0,0.0,,0.0,0.0,60.0,63.0,95.0,0.6631578947368421,,1.0,,1.0,1.0,,-1.0,1.0,1.0,1.0
2016-01-13 11:01:00,1930.0,1930.0,1930.0,1930.0,12.0,0.0,0.0,2016-01-13,0.0,0.0,0.0,0.4350521649941468,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,63.0,95.0,0.6631578947368421,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-13 12:01:00,1930.0,1930.0,1930.0,1930.0,12.0,0.0,0.0,2016-01-13,0.0,0.0,0.0,0.6144558233613493,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,79.0,79.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-13 14:01:00,1930.0,1930.0,1930.0,1930.0,12.0,0.0,0.0,2016-01-13,0.0,0.0,0.0,0.46575747183847016,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,62.0,62.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-13 15:01:00,1930.0,1930.0,1930.0,1930.0,12.0,0.0,0.0,2016-01-13,0.0,0.0,0.0,0.4472135954999578,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,60.0,60.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0
2016-01-14 10:01:00,1986.0,1986.0,1986.0,1986.0,12.0,0.0,0.0,2016-01-14,0.0,0.0,56.0,1.788854381999831,112.0,1.0,,,0.0,0.0,,0.0,0.0,56.0,56.0,56.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-01-14 11:01:00,1986.0,1986.0,1986.0,1986.0,12.0,0.0,0.0,2016-01-14,0.0,0.0,0.0,-0.44721359549995776,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,56.0,56.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-01-14 12:01:00,1986.0,1986.0,1986.0,1986.0,12.0,0.0,0.0,2016-01-14,0.0,0.0,0.0,-0.44721359549995776,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,56.0,56.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-01-14 14:01:00,1986.0,1986.0,1986.0,1986.0,12.0,0.0,0.0,2016-01-14,0.0,0.0,0.0,-0.44721359549995776,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,56.0,56.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-01-14 15:01:00,1994.0,1994.0,1994.0,1994.0,10.0,0.0,0.0,2016-01-14,0.0,0.0,8.0,-0.19674775073518586,16.0,1.0,,,0.0,0.0,,0.0,0.0,8.0,64.0,64.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-01-15 10:01:00,1909.0,1909.0,1909.0,1909.0,12.0,0.0,0.0,2016-01-15,0.0,0.0,-85.0,-1.781806070973384,-170.0,1.0,,,0.0,0.0,,0.0,0.0,85.0,77.0,93.0,0.8279569892473119,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-01-15 11:01:00,1909.0,1909.0,1909.0,1909.0,12.0,0.0,0.0,2016-01-15,0.0,0.0,0.0,0.39425019386480054,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,77.0,93.0,0.8279569892473119,-1.0,-1.0,,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
2016-01-15 12:01:00,1909.0,1909.0,1909.0,1909.0,12.0,0.0,0.0,2016-01-15,0.0,0.0,0.0,0.39425019386480054,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,77.0,93.0,0.8279569892473119,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-01-15 14:01:00,1909.0,1909.0,1909.0,1909.0,12.0,0.0,0.0,2016-01-15,0.0,0.0,0.0,0.39425019386480054,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,77.0,93.0,0.8279569892473119,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-01-15 15:01:00,1909.0,1909.0,1909.0,1909.0,12.0,0.0,0.0,2016-01-15,0.0,0.0,0.0,0.44721359549995787,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,85.0,85.0,1.0,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-01-18 10:01:00,1941.0,1941.0,1941.0,1941.0,12.0,0.0,0.0,2016-01-18,0.0,0.0,32.0,1.7888543819998308,64.0,1.0,,,0.0,0.0,,0.0,0.0,32.0,32.0,32.0,1.0,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-01-18 11:01:00,1892.0,1892.0,1892.0,1892.0,12.0,0.0,0.0,2016-01-18,0.0,0.0,-49.0,-1.571666448102533,-98.0,1.0,,,0.0,0.0,,0.0,0.0,49.0,17.0,81.0,0.20987654320987653,-1.0,-1.0,,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
2016-01-18 12:01:00,1892.0,1892.0,1892.0,1892.0,12.0,0.0,0.0,2016-01-18,0.0,0.0,0.0,0.11718565621817133,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,17.0,81.0,0.20987654320987653,-1.0,-1.0,,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
2016-01-18 14:01:00,1892.0,1892.0,1892.0,1892.0,12.0,0.0,0.0,2016-01-18,0.0,0.0,0.0,0.11718565621817133,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,17.0,81.0,0.20987654320987653,-1.0,-1.0,,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
2016-01-18 15:01:00,1892.0,1892.0,1892.0,1892.0,12.0,0.0,0.0,2016-01-18,0.0,0.0,0.0,0.11718565621817133,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,17.0,81.0,0.20987654320987653,-1.0,-1.0,,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
2016-01-19 10:01:00,1892.0,1892.0,1892.0,1892.0,12.0,0.0,0.0,2016-01-19,0.0,0.0,0.0,0.44721359549995787,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,49.0,49.0,1.0,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
2016-01-19 11:01:00,1892.0,1892.0,1892.0,1892.0,12.0,0.0,0.0,2016-01-19,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,-1.0,-1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,
